==================================================================================================================================
  DATE-MATCHING VERIFICATION — spill_date == archive_date PROOF
==================================================================================================================================
City: Lucknow, IN               | Predicted: 2026-08-10 | Spill: 29C | Archive date queried: 2026-08-10 | Actual max: 32.8C | round(32.8)=33 | Spill(29)!=33 -> WIN [WIN]
City: Lucknow, IN               | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 32.8C | round(32.8)=33 | Spill(33)==33 -> LOSS [LOSS]
City: Madrid, ES                | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 36.1C | round(36.1)=36 | Spill(35)!=36 -> WIN [WIN]
City: Madrid, ES                | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 36.1C | round(36.1)=36 | Spill(34)!=36 -> WIN [WIN]
City: Madrid, ES                | Predicted: 2026-08-10 | Spill: 36C | Archive date queried: 2026-08-10 | Actual max: 36.1C | round(36.1)=36 | Spill(36)==36 -> WIN [WIN]
City: Manila, PH                | Predicted: 2026-08-10 | Spill: 27C | Archive date queried: 2026-08-10 | Actual max: 28.7C | round(28.7)=29 | Spill(27)!=29 -> WIN [WIN]
City: Manila, PH                | Predicted: 2026-08-10 | Spill: 26C | Archive date queried: 2026-08-10 | Actual max: 28.7C | round(28.7)=29 | Spill(26)!=29 -> WIN [WIN]
City: Manila, PH                | Predicted: 2026-08-10 | Spill: 28C | Archive date queried: 2026-08-10 | Actual max: 28.7C | round(28.7)=29 | Spill(28)!=29 -> WIN [WIN]
City: Mexico City, MX           | Predicted: 2026-08-10 | Spill: 22C | Archive date queried: 2026-08-10 | Actual max: 22.3C | round(22.3)=22 | Spill(22)==22 -> WIN [WIN]
City: Mexico City, MX           | Predicted: 2026-08-10 | Spill: 21C | Archive date queried: 2026-08-10 | Actual max: 22.3C | round(22.3)=22 | Spill(21)!=22 -> WIN [WIN]
City: Mexico City, MX           | Predicted: 2026-08-10 | Spill: 23C | Archive date queried: 2026-08-10 | Actual max: 22.3C | round(22.3)=22 | Spill(23)!=22 -> LOSS [LOSS]
City: Miami, US                 | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(31)!=32 -> WIN [WIN]
City: Miami, US                 | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(30)!=32 -> WIN [WIN]
City: Miami, US                 | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 31.6C | round(31.6)=32 | Spill(32)==32 -> LOSS [LOSS]
City: Milan, IT                 | Predicted: 2026-08-10 | Spill: 34C | Archive date queried: 2026-08-10 | Actual max: 33.6C | round(33.6)=34 | Spill(34)==34 -> LOSS [LOSS]
City: Milan, IT                 | Predicted: 2026-08-10 | Spill: 33C | Archive date queried: 2026-08-10 | Actual max: 33.6C | round(33.6)=34 | Spill(33)!=34 -> WIN [WIN]
City: Milan, IT                 | Predicted: 2026-08-10 | Spill: 35C | Archive date queried: 2026-08-10 | Actual max: 33.6C | round(33.6)=34 | Spill(35)!=34 -> LOSS [LOSS]
City: Moscow, RU                | Predicted: 2026-08-10 | Spill: 23C | Archive date queried: 2026-08-10 | Actual max: 22.4C | round(22.4)=22 | Spill(23)!=22 -> LOSS [LOSS]
City: Moscow, RU                | Predicted: 2026-08-10 | Spill: 22C | Archive date queried: 2026-08-10 | Actual max: 22.4C | round(22.4)=22 | Spill(22)==22 -> WIN [WIN]
City: Moscow, RU                | Predicted: 2026-08-10 | Spill: 23C | Archive date queried: 2026-08-10 | Actual max: 22.4C | round(22.4)=22 | Spill(23)!=22 -> LOSS [LOSS]
City: Munich, DE                | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 30.6C | round(30.6)=31 | Spill(31)==31 -> LOSS [LOSS]
City: Munich, DE                | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 30.6C | round(30.6)=31 | Spill(30)!=31 -> WIN [WIN]
City: Munich, DE                | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 30.6C | round(30.6)=31 | Spill(32)!=31 -> LOSS [LOSS]
City: New York, US              | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 34.1C | round(34.1)=34 | Spill(31)!=34 -> WIN [WIN]
City: New York, US              | Predicted: 2026-08-10 | Spill: 30C | Archive date queried: 2026-08-10 | Actual max: 34.1C | round(34.1)=34 | Spill(30)!=34 -> WIN [WIN]
City: New York, US              | Predicted: 2026-08-10 | Spill: 32C | Archive date queried: 2026-08-10 | Actual max: 34.1C | round(34.1)=34 | Spill(32)!=34 -> WIN [WIN]
City: Panama City, PA           | Predicted: 2026-08-10 | Spill: 31C | Archive date queried: 2026-08-10 | Actual max: 32.2C | round(32.2)=32 | Spill(31)!=32 -> WIN [WIN]
